timestamp,cpu_percent,memory_percent,swap_percent,disk_usage_percent,disk_read_bytes_delta,disk_write_bytes_delta,disk_read_count_delta,disk_write_count_delta,bytes_sent_delta,bytes_recv_delta,packets_sent_delta,packets_recv_delta,process_count,new_processes,new_unique_processes,tcp_total,tcp_established,tcp_time_wait,tcp_close_wait,tcp_listen,hour,weekday
2026-08-06 01:43:23,5.0,92.4,6.6,22.7,1470464,0,55,0,0,0,0,0,211,211,84,73,37,3,3,30,1,3
2026-08-06 01:43:29,5.6,91.9,6.6,22.7,196608,2281472,13,162,447,690,6,8,211,0,0,73,35,3,5,30,1,3
2026-08-06 01:43:34,7.7,92.8,6.6,22.7,233472,335872,11,57,17743,20950,44,50,211,0,0,75,37,3,5,30,1,3
2026-08-06 01:43:39,5.2,93.5,6.6,22.7,1474560,565248,27,43,2452,2303,17,17,211,0,0,75,36,4,5,30,1,3
2026-08-06 01:43:44,6.2,92.5,6.6,22.7,14549504,618496,530,100,23693,13595,27,38,211,0,0,74,37,4,3,30,1,3
2026-08-06 01:43:49,5.2,92.3,6.6,22.7,307200,126976,12,14,6432,7238,14,18,211,0,0,74,37,4,3,30,1,3
2026-08-06 01:43:54,6.1,92.1,6.6,22.7,475136,397312,24,32,21296,3417,7,16,211,0,0,74,37,4,3,30,1,3
2026-08-06 01:43:59,8.0,92.7,6.6,22.7,10966016,475136,448,61,199,280,2,3,215,5,0,74,37,4,3,30,1,3
2026-08-06 01:44:04,6.9,92.9,6.6,22.7,8899584,1933312,795,235,11536,2313,8,19,214,0,0,70,33,4,3,30,1,3
2026-08-06 01:44:09,6.4,92.9,6.6,22.7,2717184,1523712,70,191,0,0,0,0,215,1,0,70,33,4,3,30,1,3
2026-08-06 01:44:14,4.4,92.7,6.6,22.7,398336,1081344,12,98,384,480,5,6,210,0,0,68,32,5,1,30,1,3
2026-08-06 01:44:19,4.0,92.6,6.6,22.7,65536,466944,1,55,124,194,1,2,210,0,0,68,32,5,1,30,1,3
2026-08-06 01:44:24,5.9,92.7,6.6,22.7,131072,307200,2,28,75,86,1,1,210,0,0,68,32,5,1,30,1,3
2026-08-06 01:44:29,6.0,90.6,7.8,22.7,1542656,81698816,38,324,75,86,1,1,210,0,0,68,32,5,1,30,1,3
2026-08-06 01:44:34,7.6,91.1,7.1,22.7,23435776,413696,553,30,9786,12681,50,46,212,2,1,71,24,15,1,30,1,3
2026-08-06 01:44:39,7.9,91.1,7.1,22.7,131072,184320,3,11,14901,28665,29,48,212,0,0,70,25,14,1,30,1,3
2026-08-06 01:44:44,7.3,91.1,7.1,22.7,0,1159168,0,183,0,0,0,0,212,0,0,70,25,14,1,30,1,3
2026-08-06 01:44:49,6.9,91.3,7.1,22.7,311296,581632,9,86,149,258,2,3,212,0,0,70,24,14,2,30,1,3
2026-08-06 01:44:54,6.2,91.3,7.1,22.7,942080,102400,16,9,7191,78418,49,66,212,0,0,71,25,14,2,30,1,3
2026-08-06 01:44:59,4.4,91.2,7.1,22.7,819200,249856,14,18,124,194,1,2,212,0,0,71,25,14,2,30,1,3
