timestamp,cpu_percent,memory_percent,swap_percent,disk_usage_percent,disk_read_bytes_delta,disk_write_bytes_delta,disk_read_count_delta,disk_write_count_delta,bytes_sent_delta,bytes_recv_delta,packets_sent_delta,packets_recv_delta,process_count,new_processes,new_unique_processes,tcp_total,tcp_established,tcp_time_wait,tcp_close_wait,tcp_listen,hour,weekday
2026-08-02 17:17:44,9.1,75.3,2.1,22.3,9440768,339968,474,25,86,604,1,8,207,207,80,51,25,2,0,24,17,6
2026-08-02 17:17:50,11.2,76.8,2.1,22.3,4561920,2338816,172,256,3343,5145,10,9,210,3,1,52,26,2,0,24,17,6
2026-08-02 17:17:55,9.0,75.4,2.1,22.3,368640,1802240,18,222,37270,32185,55,77,208,0,0,54,28,2,0,24,17,6
2026-08-02 17:18:00,8.9,76.6,2.1,22.3,122880,917504,10,138,119694,21809,83,88,206,0,0,55,29,2,0,24,17,6
2026-08-02 17:18:05,8.1,76.3,2.1,22.3,0,139264,0,33,96435,28709,77,93,206,0,0,54,27,2,1,24,17,6
2026-08-02 17:18:10,9.0,75.9,2.1,22.3,1784320,229376,60,14,81725,98549,100,126,206,0,0,54,27,2,1,24,17,6
2026-08-02 17:18:15,13.1,76.5,2.1,22.3,372736,389120,8,31,80465,19735,46,76,206,0,0,53,27,1,1,24,17,6
2026-08-02 17:18:20,8.5,76.5,2.1,22.3,81920,786432,2,136,82197,12608,58,66,206,0,0,53,27,1,1,24,17,6
2026-08-02 17:18:25,4.0,76.3,2.1,22.3,65536,274432,1,11,88151,16089,45,56,206,0,0,51,25,1,1,24,17,6
2026-08-02 17:18:30,6.7,75.7,2.1,22.3,327680,1286144,14,211,5399,3320,9,13,205,0,0,51,25,1,1,24,17,6
2026-08-02 17:18:35,7.4,76.1,2.1,22.3,147456,1204224,9,112,7238,687,7,7,205,0,0,50,25,0,1,24,17,6
2026-08-02 17:18:40,7.1,76.2,2.1,22.3,0,122880,0,11,26206,2170,17,20,205,0,0,50,25,0,1,24,17,6
2026-08-02 17:18:45,5.9,76.6,2.1,22.3,0,376832,0,54,37188,4917,19,37,205,0,0,50,25,0,1,24,17,6
2026-08-02 17:18:50,5.0,75.8,2.1,22.3,0,274432,0,22,18340,2358,15,21,205,0,0,50,25,0,1,24,17,6
2026-08-02 17:18:55,6.9,75.9,2.1,22.3,0,192512,0,12,4590,1070,15,11,205,0,0,50,23,1,1,24,17,6
2026-08-02 17:19:00,5.6,75.9,2.1,22.3,0,258048,0,20,40604,6967,23,30,205,0,0,50,23,1,1,24,17,6
2026-08-02 17:19:05,3.5,75.7,2.1,22.3,65536,225280,1,25,3791,562,6,6,205,0,0,50,23,1,1,24,17,6
2026-08-02 17:19:10,5.8,75.5,2.1,22.3,0,172032,0,16,18793,5047,12,15,205,0,0,50,24,1,0,24,17,6
2026-08-02 17:19:15,6.2,75.6,2.1,22.3,65536,266240,1,22,35127,19861,46,62,204,0,0,47,22,1,0,24,17,6
2026-08-02 17:19:20,5.2,75.6,2.1,22.3,376832,290816,20,34,16325,18142,32,35,204,0,0,49,24,1,0,24,17,6
2026-08-02 17:19:25,4.9,75.5,2.1,22.3,524288,147456,13,11,16580,15078,33,38,204,0,0,49,24,1,0,24,17,6
