timestamp,cpu_percent,memory_percent,swap_percent,disk_usage_percent,disk_read_bytes_delta,disk_write_bytes_delta,disk_read_count_delta,disk_write_count_delta,bytes_sent_delta,bytes_recv_delta,packets_sent_delta,packets_recv_delta,process_count,new_processes,new_unique_processes,tcp_total,tcp_established,tcp_time_wait,tcp_close_wait,tcp_listen,hour,weekday
2026-08-08 17:47:36,11.7,52.4,2.1,23.4,17,5,2268672,1175552,37,87,0,0,0,0,179,179,81,32,5,5,0,22
2026-08-08 17:47:41,4.9,51.7,2.1,23.4,17,5,98304,4345856,6,58,0,0,0,0,178,0,0,32,5,5,0,22
2026-08-08 17:47:46,4.2,51.7,2.1,23.4,17,5,98304,253952,6,25,75,86,1,1,178,0,0,32,5,5,0,22
2026-08-08 17:47:52,3.9,51.8,2.1,23.4,17,5,4096,192512,1,10,0,0,0,0,178,0,0,32,5,5,0,22
2026-08-08 17:47:57,4.3,51.7,2.1,23.4,17,5,0,159744,0,14,0,0,0,0,177,0,0,32,5,5,0,22
2026-08-08 17:48:02,4.0,51.7,2.1,23.4,17,5,884736,2486272,52,235,74,74,1,1,177,0,0,32,5,5,0,22
2026-08-08 17:48:07,4.1,51.6,2.1,23.4,17,5,0,94208,0,11,234,258,3,3,176,0,0,31,4,5,0,22
2026-08-08 17:48:12,4.9,51.6,2.1,23.4,17,5,0,151552,0,12,75,86,1,1,176,0,0,31,4,5,0,22
2026-08-08 17:48:17,4.3,51.5,2.1,23.4,17,5,0,258048,0,17,75,86,1,1,176,0,0,31,4,5,0,22
2026-08-08 17:48:22,3.7,51.7,2.1,23.4,17,5,0,81920,0,8,0,0,0,0,176,0,0,31,4,5,0,22
2026-08-08 17:48:27,4.5,51.7,2.1,23.4,17,5,0,163840,0,13,0,0,0,0,176,0,0,31,4,5,0,22
2026-08-08 17:48:32,3.9,51.7,2.1,23.4,17,5,0,180224,0,11,0,1333,0,13,176,0,0,31,4,5,0,22
2026-08-08 17:48:37,4.1,51.6,2.1,23.4,17,5,0,81920,0,8,0,139,0,1,176,0,0,31,4,5,0,22
2026-08-08 17:48:42,4.6,51.6,2.1,23.4,17,5,0,241664,0,16,0,288,0,4,176,0,0,29,4,3,0,22
2026-08-08 17:48:47,4.5,51.4,2.1,23.4,17,5,0,188416,0,14,0,0,0,0,176,0,0,29,4,3,0,22
2026-08-08 17:48:52,4.7,51.4,2.1,23.4,17,5,0,184320,0,12,0,0,0,0,176,0,0,29,4,3,0,22
2026-08-08 17:48:57,4.2,51.4,2.1,23.4,17,5,0,176128,0,9,75,86,1,1,176,0,0,29,4,3,0,22
2026-08-08 17:49:02,3.9,51.5,2.1,23.4,17,5,0,290816,0,13,75,86,1,1,176,0,0,28,4,2,0,22
2026-08-08 17:49:07,3.9,51.5,2.1,23.4,17,5,0,176128,0,8,0,0,0,0,176,0,0,28,4,2,0,22
2026-08-08 17:49:12,4.1,51.5,2.1,23.4,17,5,0,253952,0,13,0,0,0,0,176,0,0,28,4,2,0,22
2026-08-08 17:49:17,5.2,51.4,2.1,23.4,17,5,0,274432,0,29,0,0,0,0,176,0,0,26,4,0,0,22
2026-08-08 17:49:22,4.2,51.4,2.1,23.4,17,5,16384,212992,1,11,0,0,0,0,176,0,0,26,4,0,0,22
2026-08-08 17:49:27,3.8,51.4,2.1,23.4,17,5,0,131072,0,14,0,74,0,1,176,0,0,25,3,0,0,22
2026-08-08 17:49:32,4.8,51.4,2.1,23.4,17,5,0,286720,0,27,0,0,0,0,176,0,0,25,3,0,0,22
2026-08-08 17:49:37,3.9,51.4,2.1,23.4,17,5,4096,143360,1,7,172,164,2,2,176,0,0,25,3,0,0,22
2026-08-08 17:49:42,4.5,51.4,2.1,23.4,17,5,0,217088,0,16,0,0,0,0,176,0,0,25,3,0,0,22
2026-08-08 17:49:47,4.3,51.5,2.1,23.4,17,5,4096,245760,1,20,161,172,2,2,176,0,0,25,3,0,0,22
2026-08-08 17:49:52,4.6,51.5,2.1,23.4,17,5,24576,180224,2,15,0,0,0,0,176,0,0,25,3,0,0,22
2026-08-08 17:49:57,4.1,51.4,2.1,23.4,17,5,0,143360,0,11,0,0,0,0,176,0,0,25,3,0,0,22
2026-08-08 17:50:02,4.5,51.4,2.1,23.4,17,5,0,159744,0,8,0,0,0,0,176,0,0,25,3,0,0,22
2026-08-08 17:50:07,5.1,51.5,2.1,23.4,17,5,16384,315392,1,23,3946,17282,14,20,176,0,0,26,4,0,0,22
2026-08-08 17:50:12,4.9,51.5,2.1,23.4,17,5,0,208896,0,12,42,42,1,1,176,0,0,26,4,0,0,22
2026-08-08 17:50:17,3.8,51.5,2.1,23.4,17,5,0,147456,0,9,86,86,1,1,176,0,0,26,4,0,0,22
2026-08-08 17:50:22,4.9,51.4,2.1,23.4,17,5,0,274432,0,20,0,0,0,0,176,0,0,26,4,0,0,22
2026-08-08 17:50:27,5.7,51.4,2.1,23.4,17,5,8192,241664,2,19,0,0,0,0,176,0,0,26,4,0,0,22
2026-08-08 17:50:32,10.9,52.1,2.1,23.4,17,5,16384,765952,1,88,2477,11216,17,15,179,3,1,27,5,0,0,22
2026-08-08 17:50:37,4.6,51.9,2.1,23.4,17,5,0,700416,0,50,0,0,0,0,179,0,0,27,5,0,0,22
2026-08-08 17:50:42,4.2,51.8,2.1,23.4,17,5,98304,716800,5,84,0,0,0,0,179,0,0,27,5,0,0,22
2026-08-08 17:50:48,4.3,51.8,2.1,23.4,17,5,0,262144,0,10,0,0,0,0,179,0,0,27,5,0,0,22
2026-08-08 17:50:53,5.0,51.9,2.1,23.4,17,5,0,241664,0,12,0,0,0,0,179,0,0,27,5,0,0,22
2026-08-08 17:50:58,4.5,51.9,2.1,23.4,17,5,0,327680,0,35,0,0,0,0,179,0,0,27,5,0,0,22
2026-08-08 17:51:03,4.1,51.7,2.1,23.4,17,5,0,278528,0,14,0,0,0,0,179,0,0,27,5,0,0,22
2026-08-08 17:51:08,4.5,51.7,2.1,23.4,17,5,0,229376,0,10,0,0,0,0,179,0,0,27,5,0,0,22
2026-08-08 17:51:13,4.6,51.8,2.1,23.4,17,5,0,221184,0,18,0,0,0,0,177,0,0,27,5,0,0,22
2026-08-08 17:51:18,4.9,51.8,2.1,23.4,17,5,0,180224,0,14,75,160,1,2,177,0,0,26,4,0,0,22
2026-08-08 17:51:23,5.4,51.7,2.1,23.4,17,5,0,245760,0,14,86,86,1,1,177,0,0,26,4,0,0,22
2026-08-08 17:51:28,4.3,51.8,2.1,23.4,17,5,0,126976,0,14,0,0,0,0,177,0,0,26,4,0,0,22
2026-08-08 17:51:33,5.0,50.8,2.3,23.4,17,5,2560,14178816,5,44,75,160,1,2,175,0,0,25,3,0,0,22
